Pedestrain,Time,xpos,ypos
1,16:45,4,17
1,16:50,4,18
1,16:55,4,19
1,17:0,3,20
1,17:0,3,20
1,17:0,12,6
1,17:5,10,7
1,17:10,10,8
1,17:15,10,9
1,17:20,11,10
1,17:25,11,11
1,17:30,10,12
1,17:35,10,13
1,17:40,9,14
1,17:45,9,15
1,17:50,9,16
1,17:55,9,17
1,18:0,9,18
1,18:5,8,19
1,18:10,7,19
1,18:15,6,19
1,18:20,5,19
1,18:25,4,20
1,18:30,3,20
1,18:30,3,20
1,18:30,12,6
1,18:35,11,4
1,18:40,11,3
1,18:45,12,2
1,18:50,13,2
1,18:55,14,2
1,19:0,15,2
1,19:5,16,2
1,19:10,17,2
1,19:15,18,3
1,19:20,18,4
1,19:25,18,5
1,19:30,18,6
1,19:35,18,7
1,19:40,18,8
1,19:45,18,9
1,19:50,19,10
1,19:55,20,11
1,20:0,20,12
1,20:5,20,13
1,20:10,20,14
1,20:15,20,15
1,20:20,20,16
1,20:25,20,17
1,20:30,20,18
1,20:35,19,19
1,20:40,18,19
1,20:45,17,19
1,20:50,16,19
1,20:55,15,19
1,21:0,14,19
1,21:5,13,19
1,21:10,12,19
1,21:15,11,19
1,21:20,10,20
1,21:25,9,21
1,21:30,8,22
1,21:35,7,23
1,21:40,6,23
1,21:45,5,23
1,21:50,4,23
1,21:55,3,23
1,22:0,2,22
1,22:5,2,21
1,22:10,3,20
1,22:10,3,20
1,0:0,5,14
1,0:5,7,14
1,0:10,8,14
1,0:15,9,13
1,0:20,10,12
1,0:25,11,11
1,0:30,12,10
1,0:35,13,10
1,0:40,14,10
1,0:45,15,9
1,0:50,16,9
1,0:55,17,9
1,1:0,18,9
1,1:5,19,9
1,1:10,20,9
1,1:15,21,9
1,1:20,22,9
1,1:25,23,9
1,1:30,24,9
1,1:35,25,8
1,1:40,25,7
1,1:45,25,6
1,1:50,25,5
1,1:55,25,4
1,2:0,26,3
1,2:5,27,2
1,2:10,28,1
1,2:15,29,1
1,2:20,30,1
1,2:25,31,1
1,2:30,32,1
1,2:35,33,1
1,2:40,34,1
1,2:45,35,0
1,2:50,36,0
1,2:55,37,0
1,2:55,37,0
1,2:55,5,14
1,3:0,4,12
1,3:5,4,11
1,3:10,5,10
1,3:15,6,10
1,3:20,7,10
1,3:25,8,9
1,3:30,9,8
1,3:35,9,7
1,3:40,9,6
1,3:45,9,5
1,3:50,10,4
1,3:55,11,3
1,4:0,12,2
1,4:5,13,2
1,4:10,14,2
1,4:15,15,2
1,4:20,16,2
1,4:25,17,2
1,4:30,18,3
1,4:35,19,4
1,4:40,20,4
1,4:45,21,4
1,4:50,22,4
1,4:55,23,3
1,5:0,23,2
1,5:5,23,1
1,5:10,24,0
1,5:15,25,0
1,5:20,26,0
1,5:25,27,0
1,5:30,28,0
1,5:35,29,0
1,5:40,30,0
1,5:45,31,0
1,5:50,32,0
1,5:55,33,0
1,6:0,34,0
1,6:5,35,1
1,6:10,36,1
1,6:15,37,0
1,6:15,37,0
1,6:15,5,14
1,6:20,4,16
1,6:25,4,17
1,6:30,4,18
1,6:35,5,19
1,6:40,6,19
1,6:45,7,19
1,6:50,8,19
1,6:55,9,19
1,7:0,10,19
1,7:5,11,19
1,7:10,12,19
1,7:15,13,19
1,7:20,14,19
1,7:25,15,19
1,7:30,16,19
1,7:35,17,19
1,7:40,18,19
1,7:45,19,19
1,7:50,20,18
1,7:55,20,17
1,8:0,20,16
1,8:5,20,15
1,8:10,20,14
1,8:15,20,13
1,8:20,20,12
1,8:25,21,11
1,8:30,22,10
1,8:35,23,10
1,8:40,24,10
1,8:45,25,10
1,8:50,26,11
1,8:55,27,12
1,9:0,28,13
1,9:5,29,14
1,9:10,30,15
1,9:15,31,16
1,9:20,32,17
1,9:25,33,18
1,9:30,34,19
